,id,latitude,longitude,price,minimum_nights,number_of_reviews,availability_365,neighbourhood_labelencoded,oheencoded_Bronx,oheencoded_Brooklyn,oheencoded_Manhattan,oheencoded_Queens,oheencoded_Staten Island,oheencoded_Entire home/apt,oheencoded_Hotel room,oheencoded_Private room,oheencoded_Shared room
49,12192,40.72296,-73.98383,60,7,291,43,65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
50,72190,40.77743,-73.97691,110,30,37,0,204,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
51,39704,40.68216,-73.94594,135,30,337,0,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
52,72265,40.72744,-73.953,85,10,36,0,93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
53,12937,40.74757,-73.94571,164,3,355,94,119,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
54,42300,40.71992,-73.99167,750,5,73,114,121,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
55,12940,40.67946,-73.95417,125,30,74,156,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
56,74333,40.80834,-73.94075,80,30,40,310,62,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
57,42729,40.67813,-74.00062,202,4,200,331,30,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
58,74438,40.75523,-73.99792,299,30,52,365,97,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
59,42882,40.64633,-74.08156,70,5,183,237,188,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
60,74680,40.77507,-73.93367,115,7,253,243,4,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
61,74821,40.80874,-73.94926,149,30,47,90,96,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
62,13808,40.68064,-73.94039,94,1,187,204,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63,14314,40.73535,-73.95584,129,30,179,278,93,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
64,43105,40.7449,-73.98499,185,30,4,364,129,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
65,14434,40.68777,-73.94976,70,30,60,363,12,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66,74860,40.72364,-73.95013,75,30,3,0,93,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
67,44229,40.69287,-73.97108,110,30,232,365,81,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
68,75635,40.71911,-73.98588,175,3,377,134,121,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
69,15341,40.721359,-73.993668,199,30,33,158,121,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
70,15385,40.71211,-73.96397,85,5,52,129,216,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
71,44973,40.70894,-73.95234,107,30,127,132,216,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
72,15396,40.74493,-73.99521,400,90,5,118,33,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
73,16338,40.69121,-73.96804,55,30,31,192,41,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
74,77765,40.73777,-73.95366,179,1,47,136,93,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
75,80493,40.722599029541016,-73.9854507446289,56,2,222,75,65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
76,45542,40.82569,-73.93842,100,30,18,0,96,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
77,80684,40.73756,-73.9535,429,1,11,216,93,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
78,80700,40.73777,-73.95366,349,1,10,216,93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
79,16580,40.72489,-73.9781,105,1,492,135,65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
80,45556,40.68834,-73.97578,65,2,368,194,81,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81,16821,40.72281,-73.98501,136,2,173,14,65,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
82,80924,40.67407,-73.98105,160,30,37,33,153,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
83,81739,40.73777,-73.95366,349,1,2,216,93,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84,45737,40.73948,-74.00504,64,30,25,57,211,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
85,45910,40.70309,-73.89963,425,30,13,365,168,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
86,82638,40.72408,-73.98154,125,30,279,335,65,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
87,16974,40.8019,-73.93762,250,5,272,39,62,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
88,45935,40.80635,-73.92201,60,30,0,83,136,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
89,17037,40.72289,-73.98028,220,30,53,125,65,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
90,82928,40.68433,-73.94469,150,30,77,192,12,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
91,45936,40.8063,-73.95985,75,31,136,24,132,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
